01/01/2014	4260 3681 1440 2351 1381 1789 1249 2943 2974 2237 2226 2610 2542 2709 3797 4942 3942 2727 1659 3956 1922
01/01/2015	1220 3240 2768 1798 2127 1235 1422 2851 2641 3026 2211 3751 4104 4537 4439 4616
01/02/2014	4255 3243 3220 3120 2690 2202 4247 4887 4746 4548 4527 3758 1878 4140 1809 3156 1175 1965 3805 3107 2755 2475 3663 4316 2717
01/02/2015	3682 2384 2383 3064 3086 2051 2271 1206 3510 3520 4147 3754 4933
01/03/2014	4146 2595 1483 1362 1241 2085 3737 2602 2514 1864 1764 1335 2279 4664 4822 4625 3746 2935 1658 1339 3517
01/03/2015	4031 2386 3178 2573 2680 2391 1107 4529 2977 1546 3316 1136 1684 4766 1837 3821 4856 4867 2617 3944
01/04/2014	4310 4465 3398 2361 1052 3284 3141 3848 2965 2733 1852 3028 1169 3621 4830 1948 2847
01/04/2015	4221 3794 4157 3079 1183 3438 2018 2953 1104 1014 1047 1575 2455 2884 1992 3663 3762 4455 4601 1749 3429
01/05/2014	4442 3684 1891 2174 2193 4182 3814 1415 3639 2129 4938 2238 3425 2269 2982 2047 4601 4997 4426 1969 2618 4823 2847 2725
01/05/2015	4075 4695 2144 3077 3044 2274 3154 3043 1536 2305 4608 2985 2655 2874 2500 1783 2552 4059 4324 4335 4636 2507
01/06/2014	4575 1440 2595 2594 3595 2010 2284 3218 3614 3849 1489 3006 1410 1057 2354 3113 1828 4975 3743 2638 3768 4649 4913
01/06/2015	4494 3365 3375 2351 2831 1500 2226 2049 3402 3587 1023 2563 3686 2729 4117 4448 4405 2989 3912 3835
01/07/2014	4551 2573 4171 4969 2369 2588 1113 2026 4367 3850 4722 4308 3376 2898 1522 1049 4818 2236 2411 3444 1364 1320 1947 1825 3966 1747 1922
01/07/2015	4320 2760 2220 3363 1094 2193 2380 1943 3316 1301 2775 2267 1585 2695 2101 1342 4544 4148 4149 4987 4911
01/08/2014	4144 3893 1495 1285 3451 3241 2086 2031 2294 2899 2107 4939 3534 3402 2664 1243 2651 4796 4765 3998 2407 4814
01/08/2015	4294 4691 3255 2462 4170 2427 2888 3914 2996 2532 3599 2004 2398 2222 2715 2814 4825 1306 1900
01/09/2014	3692 3299 3122 4915 1975 1568 3117 1005 2642 3334 2531 1552 3487 4356 4852 4623 1816 1408 4427 2946 1878
01/09/2015	4098 4891 4892 1495 3046 2194 1192 3590 2613 1831 1457 1960 1322 1188 4697 4951 4579 4757 2935 2868
01/10/2014	3106 3347 2676 3303 3929 4651 2850 4720 2937 1847 3879 1625
01/10/2015	4981 1909 4068 4883 1043 1214 3337 4015 4556 3953 1319 1968 1427 1878
01/11/2014	4078 2551 1241 2940 2544 2860 3751 4467 4403 3855 2606 4081 4915 4618 1403 4916 1820 1589 3489 2630 2750 3840 4557 3920 1869 1308
01/11/2015	3890 4231 2276 2781 3165 2194 2280 1514 2986 2689 4818 3038 1850 1893 2761 2684 4742 4811 4316 3877 3629 4515 4218 3966
01/12/2014	4165 3430 3649 3924 1623 3739 1655 1204 2952 2864 1430 1045 4665 2619 4854 2618 1606 3832 1702 1504 4803
01/12/2015	2290 4035 2264 2021 3318 1667 2469 2523 2443 3356 3774 4667 4757 1977
02/01/2014	4450 4014 1066 2472 4408 3538 4907 3259 1870 4666 2828 1814 3977 4847 3692 4364 4860 3178 2043 2020 3130 2480 1248 2311 1365 1265 3641 1528 4933
02/01/2015	3365 1164 3495 2944 2612 2942 3337 2763 2785 2553 3037 3455 4369 3841 3897 4304 4986 4668 4406 1537
02/02/2014	4133 1791 4291 3194 1180 4947 1139 1996 2215 2435 1113 2036 3289 1939 4679 4635 3921 4406 1923 2505
02/02/2015	2800 1930 2656 3437 3557 2356 3322 3287 3493 1329 2747
02/03/2014	4196 4256 2430 2232 2032 2152 2271 1998 2662 3730 3973 4208 3835 2043 3571 1206 1887 3905 1466 2950 2334 4257 1929 4632 1604
02/03/2015	3782 3167 3189 3386 1853 2927 2509 4867 4889 3757 1934 4847 1614 1270 3370 2855 2613 1887 3601 2236 1785 1465 2751 3984 2738
02/04/2014	4791 4231 3462 1480 1160 2602 2964 1554 2443 2201 1772 1651 3971 3795 4500 1859 2242 1450 1074 3273 4739 3469 2038 1004 2597 3763 2935 1427
02/04/2015	2176 2055 2370 2073 2270 1624 2467 4809 1695 1808 4328 3757 1119
02/05/2014	4393 4177 2001 2320 3298 2066 2164 1381 3306 1468 2018 2169 2289 2453 3476 4645
02/05/2015	4153 3691 3122 2022 1790 3176 2691 1360 3119 2964 3623 3414 1631 3049 2257 1597 1672 4105 4217 1628 4107 4019 1945
02/06/2014	3684 2251 1160 4958 1524 1425 1435 1127 3238 1159 3248 2489 3104 1399 1025 2321 3675 4700 3877 3518
02/06/2015	3180 4098 4197 4110 4694 3472 1083 3903 2789 2755 1379 1377 2400 4972 3999 2967 4726 4869 2758
02/07/2014	4684 4762 4058 3101 2834 1899 1811 1216 1410 3577 2168 1343 3146 1001 2718 1617
02/07/2015	4194 2023 2353 1173 3924 1326 3416 2502 1213 1663 2950 2013 3872 4559 1429 3508 1922
02/08/2014	4261 4470 3189 3063 2207 2526 3947 1369 2810 2289 3323 3919 2751 4115 4941 4986 4228 3518 3856
02/08/2015	4299 3297 4270 2602 2503 2854 3413 1477 3809 1750 4994 3752 4776 4699 4459 3800 4109
02/09/2014	1693 1583 3210 1186 3583 1283 3493 3075 2041 1866 2536 2997 2765 2534 2314 1940 1641 1002 3487 4963 3688 2718 3689
02/09/2015	4993 4146 1044 1220 2474 2088 3174 3051 1634 1920 3469 2237 1312 3919 1430 1353 3909 4148 4799 1889
02/10/2014	4893 2045 3099 2504 1998 1634 2139 3926 1533 3894 4975 4788 4601 1969 1628 4868 4736
02/10/2015	5000 3061 2170 2192 2404 1874 3939 2069 1991 4822 1617 3954 4064 4165 3694 4387 1844 2997 1786 2136 1003 3004 4697 3786 4479 4734 3669
02/11/2014	4045 4520 1330 3343 1081 4628 1410 2685 3697 4852 4797 4149 4348 2849 4789 2738 2428
02/11/2015	4498 4267 3200 1472 1174 3140 1281 2811 2128 4707 1863 1168 1486 3322 4752 2928 4239 1969 2859 1627 1845
02/12/2014	4370 4440 4341 3761 3142 2196 3383 3649 2547 4719 2423 1851 1574 3861 4314 4722 4603 4746 1427
02/12/2015	4593 1042 2523 2589 3216 1478 2840 1311 1574 4720 4600 2706 4724 2604 3691 2143 2061 2380 3549 2513 1622 2399 3687 4119 3824 4814
03/01/2014	4382 4440 4520 3761 2991 1253 2065 3197 3294 1171 2480 4280 1899 2910 2459 3227 2963 3313 4335 3698 3831 4249 1529 2538
03/01/2015	4893 4992 2077 2297 3538 2107 1238 1436 1930 2028 2962 1696 2641 2860 1517 4726 4924 4661 4100 4761 4344 1293 3172 4716 1623 4916 3289 1408
03/02/2014	4690 4132 4297 4751 2254 3442 2094 4826 1118 2906 4504 4582 4683 4045 1033 3254 2139 3807 2334 1661 4796 3787 4359 4656 1605 1549
03/02/2015	4294 4362 4550 2440 2340 3296 3185 2172 1390 4936 3614 1776 2632 1598 2653 1696 1245 1277 2761 4843 3656 1924 2736
03/03/2014	4294 4262 4164 1352 2790 3626 4717 1225 2863 1246 1640 1254 1111 3686 4325 4226 4963 3842 4933 4416 2947 4857 3856
03/03/2015	4040 4571 2001 1690 3307 3737 1756 1822 3117 2654 1213 2521 3647 3319
03/04/2014	4130 3661 3185 1657 1931 2525 2921 1852 1574 2803 4968 1416 2868 1297 1031 1822 2337 2732 1147 3589 3203 2971 3784 4752 4236 4956
03/04/2015	4464 3035 2022 3405 3958 2129 1216 2138 4819 1443 3400 3685 4489 1619 4700 1416
03/05/2014	1010 3428 2900 2479 2258 1124 3808 1475 1057 3059 3883 1609 4896 4667 1209 2716
03/05/2015	4088 3682 2540 3540 1152 3361 1293 3748 3969 1612 1524 3915 2787 3621 1431 3113 1067 3862 4753 3961 3974 3911 3529
03/06/2014	4690 4771 2881 1493 1282 3295 1050 1116 3305 2556 3917 3323 3775 3643 2816 4415 4515
03/06/2015	4495 4047 4179 3585 3100 3353 2175 2582 1283 1381 2690 1291 1081 2625 1499 1168 1949 4106 4229 3856 1978 3758
03/07/2014	4143 3760 1990 2166 3464 4050 1721 3326 1444 3279 3498 1937 3942 2936 3967
03/07/2015	1395 2043 2205 2622 1489 1334 1464 1265 4137 4347 4512 3831 2707 1706 3822
03/08/2014	4075 4265 2452 3384 2195 4070 1327 4718 1710 1026 2577 2632 2400 1068 1640 3003 3821 4679 4504 1946 3725
03/08/2015	4286 3783 1286 3310 2141 3450 2404 3449 1237 1500 2542 1892 2200 2420 4302 4611 4238 3931 1748 1538 3308
03/09/2014	4780 5000 4050 4281 1547 1569 1568 2547 2479 4709 3247 4643 1515
03/09/2015	3772 2672 2086 2691 1953 3749 1732 2238 2226 3534 3148 3368 3489 4632 3940 4733 3855 4539
03/10/2014	2252 1690 2492 1191 4839 1025 3302 2443 3863 3789 3508 4319 3429 1911
03/10/2015	1374 3079 3584 1336 3544 1211 2981 4566 1508 4833 1903 1606 3635 2407 1659 2406
03/11/2014	4074 4573 2584 3321 1163 3088 3593 1094 2338 1854 4906 1885 3818 1586 1563 2960 2751 2387 4412 4800 3964 2958 1736 2923
03/11/2015	4024 3398 1252 3495 2284 3050 1622 1765 1994 1850 2103 1584 2200 4620 1718 3656
03/12/2014	4398 2701 1237 3612 3817 2863 3116 3259 3544 1850 1432 3058 1991 4510 4468 4985 1419 4427 1748 2406
03/12/2015	2166 3182 2875 1114 2225 4919 2795 2861 1100 4643 4899 1804 1638 2307
04/01/2014	2092 4157 1165 3284 3382 2641 2809 3830 4204 4745 2925 1616 2428 4726 2760 3133 3077 2185 2535 1545 2138 3007 1500 2477 1883 3765 4799 4758
04/01/2015	3200 1483 3221 2690 3738 3717 2642 1155 4269 3852 1835 4144 4180 2381 2657 1567 3949 3601 1664 3523 1144 3344 3686 3886 1309 4735 2914 3922 3429
04/02/2014	4474 1561 1777 2204 3414 2049 3556 2125 1376 3476 2709 3896 4129 2748 4747 1999 2868 2045 2584 3011 1546 3129 3249 2058 3641 4312 3786 1706
04/02/2015	4462 4243 4760 3881 2186 1041 3759 2732 1038 1356 1674 3478 1708 3841 3856 4935
04/03/2014	4275 4211 4156 1660 3046 2350 1338 4948 1732 4807 3917 2222 3972 1618 1915 3952 4923 4946 2604 3857 4165 4541 4322 3450 2580 2337 2776 2930 1342 3862 4215 4898 4657 3943
04/03/2015	4040 4581 4397 4475 3573 3276 4281 3405 3558 1346 1795 1388 1333 2245 1332 4558 4736 2516 4869
04/04/2014	4283 4570 4047 2683 3042 3715 1424 3536 3905 3203 3499 2299 2772 3069 3872 4169 4830 4402 4206 1507 4868 3812 1724
04/04/2015	4012 4300 1242 2085 2261 3086 4190 2678 1336 1611 2413 2523 3544 1893 3432 3443 4785 4731 3942 4228
04/05/2014	4197 4199 2067 2045 2033 2362 1162 2380 2181 3416 1887 1127 1028 3523 1575 1399 1761 3696 3863 1726 3746
04/05/2015	4130 4571 4780 3264 3294 2061 1962 1872 4114 4510 4742 4302 4558 3605
04/06/2014	4680 2122 3593 2064 4292 3737 1654 1961 1895 2343 1331 3896 2806 1717 1803 4823 4406 4329 1922
04/06/2015	1154 1230 2095 2040 1613 1558 3715 2933 2547 2666 1752 1058 2454 4831 4536 1109
04/07/2014	4076 3892 3903 2524 1478 3248 2654 3467 1553 2455 1233 3972 2904 4206 2519 3408 3757 3768 3966 4637 2747
04/07/2015	4593 4189 3881 4498 4212 2122 3474 3473 2082 3050 2777 1820 2676 2068 3884 3830 3619 1419 4625 2419 1539 4308
04/08/2014	4077 4442 4487 4575 2331 2340 3044 3561 1141 3582 2041 3948 3535 3600 1345 2433 3444 1673 1144 4687 4710 1618 3209
04/08/2015	4330 4495 4596 4102 4652 2193 2625 2702 1514 2207 2745 4729 2579 4807 3313 2454 1067 2321 2918 4303 4952
04/09/2014	4380 2207 1006 1346 1466 1487 1772 3212 1509 4855 4999 2616 3308
04/09/2015	3980 2782 2087 3054 1380 1237 2359 3236 3621 1112 3069 3124 3399 4148 4677 4546 4789 4537
